protein,breast_MDAMB231,colon_HCT116,ewingsarcoma_CHLA10,ewingsarcoma_TC32,melanoma_A375,melanoma_HS895T,melanoma_SH4,ovary_patientsample,prostate_PC3
A2RUB6,0,0,1,1,0,0,0,1,0
A8MW92,1,0,1,1,0,0,0,0,0
A8MWD9,1,0,0,1,0,0,1,0,0
O00139,0,0,1,1,0,0,0,1,0
O00151,1,0,0,0,0,1,0,1,0
O00267,1,0,0,1,0,0,0,1,0
O00422,0,0,1,1,0,0,0,1,0
O00567,0,0,0,1,0,0,1,1,0
O00625,0,0,0,0,0,1,1,1,0
O00629,0,1,0,0,0,0,1,1,0
O14497,0,0,1,1,0,0,0,1,0
O14841,0,0,1,1,0,0,0,1,0
O14929,0,1,0,1,0,0,0,1,0
O14979,0,0,1,1,0,0,0,1,0
O15055,1,1,0,0,0,0,0,1,0
O43148,1,0,0,1,0,0,0,1,0
O43290,0,0,1,1,0,0,0,1,0
O43617,0,1,0,1,0,0,0,1,0
O43809,0,1,0,0,1,0,0,1,0
O43818,0,1,1,0,0,0,0,1,0
O60341,0,0,1,1,0,0,0,1,0
O60832,0,0,1,1,0,0,0,1,0
O75417,0,0,1,0,0,0,1,1,0
O75592,1,0,0,1,0,0,0,1,0
O75643,0,1,0,1,0,0,0,1,0
O75822,0,0,1,1,0,0,0,1,0
O95447,0,1,0,1,0,0,0,1,0
O95834,1,1,0,0,0,0,0,1,0
P05386,1,1,1,0,0,0,0,0,0
P07305,0,0,0,1,1,0,0,1,0
P09661,0,1,0,1,0,0,0,1,0
P11137,1,0,0,1,0,0,0,1,0
P11388,0,0,1,1,0,0,0,1,0
P11908,1,1,0,1,0,0,0,0,0
P15170,0,0,1,1,0,0,0,1,0
P15374,1,0,1,0,0,0,0,1,0
P15559,0,1,0,0,0,0,1,1,0
P15927,0,1,0,1,0,0,0,1,0
P17480,0,0,1,1,0,0,0,1,0
P19388,0,1,0,1,0,0,0,1,0
P23921,0,1,0,1,0,0,0,1,0
P24941,0,1,0,1,0,0,1,0,0
P28340,0,0,1,1,0,0,0,1,0
P31350,0,1,0,1,0,0,0,1,0
P31942,1,0,0,1,0,0,0,1,0
P33240,0,1,0,1,0,0,0,1,0
P37235,0,1,0,0,1,0,0,1,0
P42166,1,0,1,0,1,0,0,0,0
P42694,0,0,1,1,0,0,0,1,0
P46013,0,1,1,0,0,0,0,1,0
P46060,0,1,0,1,0,0,0,1,0
P46087,0,0,1,1,0,0,0,1,0
P47224,0,1,0,1,0,0,0,1,0
P47813,0,0,0,1,1,0,0,1,0
P48556,0,1,0,1,0,0,0,1,0
P48739,0,1,0,1,0,0,0,1,0
P49023,1,0,0,1,0,0,0,1,0
P50238,1,0,0,1,0,0,0,1,0
P50579,0,1,0,1,0,0,0,1,0
P51452,0,0,0,1,0,0,1,1,0
P51659,0,1,0,1,0,0,0,1,0
P52434,0,1,0,1,0,0,0,1,0
